ID,Jupiter,Ketu,Mars,Mercury,Moon,Neptune,Pluto,Rahu,Saturn,Sun,Uranus,Venus,DOB,TOB,GENDER
33,223.4481329454,274.4069816836,322.6700458016,215.2974485633,289.5835634109,319.7633321163,265.9419910053,94.4069816836,255.0406150244,235.971451181,4.8668186976,192.0566096794,2018-12-12,02:09:18,2
34,,,,,,,,,,,,,2019-04-10,17:41:45,1
35,240.0959819659,267.4288521697,50.787911509,343.2308591071,231.3562393391,323.7688359185,269.1229902204,87.4288521697,266.4475675696,8.3143383249,8.4893258954,338.5130157201,2019-04-23,01:32:16,2
36,199.4600927993,283.0782919793,285.07286009,99.2888974799,291.4371614468,322.4372499654,266.2744919181,103.0782919793,251.5550194913,75.5538153558,7.9912144084,116.2237222094,2018-07-01,15:56:02,1
37,235.9474224567,270.9825304001,6.1476720893,313.6520903318,54.3276206137,321.3741850769,268.0235997057,90.9825304001,262.3729653299,301.6830727846,5.2148066334,258.3826156427,2019-02-14,22:04:59,2
38,207.2468139315,278.4620400174,280.2790041555,163.838329939,357.039895133,320.5587432229,264.7474620586,98.4620400174,248.8572939446,159.4017439505,7.6076215038,195.2766116274,2018-09-26,20:37:35,1
39,235.1021583494,271.2746275152,2.4193245315,303.7067433776,343.7043341454,321.1777117247,267.8588221745,91.2746275152,261.8088137533,296.1068287944,5.0491474739,252.0044266841,2019-02-09,04:47:34,2
40,202.5640827571,280.0524529948,274.5960707721,111.9247715302,322.5812587969,321.3712478562,265.0218745701,100.0524529948,248.6078080091,130.21195063,8.3869605979,175.6928846497,2018-08-27,14:19:51,1
41,239.7733829037,267.0686075471,55.2247954276,353.5294218752,314.1937735108,323.9584820235,269.1183003923,87.0686075471,266.4908414361,14.9322182977,8.8792998261,346.7516491519,2019-04-29,15:41:32,2
42,206.5026924663,278.6841079175,278.8753143102,156.3933937567,304.8497377926,320.6680474085,264.7612099588,98.6841079175,248.7350469243,155.2995898323,7.7482977751,193.6629275623,2018-09-22,12:03:08,1
43,205.456173518,279.0106142834,277.1276156394,144.9770398619,231.4121134144,320.8332628649,264.7964309393,99.0106142834,248.6060143509,149.2839060682,7.9386386709,190.4593176624,2018-09-16,07:10:40,2
44,231.4457220075,272.3765324417,348.3361957081,268.0828211725,70.2461274526,320.5090023399,267.1861238115,92.3765324417,259.5087989097,274.9863849436,4.6410056035,228.6253116395,2019-01-19,17:44:32,1
45,228.6720382102,273.1150960226,338.9140219009,246.4457475311,254.8392690141,320.1495765064,266.7155141099,93.1150960226,257.8771360975,260.7852071505,4.5730888029,213.9279838797,2019-01-05,21:14:52,2
46,234.2232231059,264.3234258288,88.5855216976,89.5302090194,280.0884019843,324.6959937206,268.4331316301,84.3234258288,264.5692511173,64.7429243973,11.4958476313,49.7593374905,2019-06-20,17:58:48,1
47,239.2183718798,269.4893780591,25.0866942008,330.3374650944,66.2509018007,322.4314776454,268.7188588537,89.4893780591,264.8055406515,329.9753756896,6.3703379572,291.6667382423,2019-03-15,05:19:46,2
48,213.563960697,276.778399091,295.1027306451,212.3531776711,57.6601483927,319.8924535602,264.926749281,96.778399091,250.6324004017,190.8348870551,6.3660394901,188.0290564992,2018-10-28,12:38:40,2
49,239.1727832658,269.5191014376,24.7118891377,330.8655228699,58.6256026879,322.4102897358,268.7079102505,89.5191014376,264.7659237523,329.4160909443,6.3430893627,290.9965533835,2019-03-14,07:52:03,1
50,236.9931724219,265.4913291341,74.4786871121,53.0513780604,343.3904052521,324.5496337796,268.8470069579,85.4913291341,265.8184259056,43.6598919273,10.5012394867,22.9033633975,2019-05-29,11:02:19,2
51,237.2140005578,265.5892552211,73.2909031126,49.1308527466,321.1500784609,324.5255761558,268.8746515548,85.5892552211,265.8980687552,41.886180912,10.4078327315,20.6550396124,2019-05-27,19:41:17,2
52,239.5641833095,269.2416292654,28.2059522101,326.0135959389,134.0833288359,322.6070309984,268.8048151057,89.2416292654,265.1197102797,334.629256545,6.6026151437,297.2607268208,2019-03-19,17:02:03,1
53,236.9928849035,265.4912027874,74.4802191162,53.0563792948,343.4195052717,324.5496636612,268.8469704666,85.4912027874,265.8183202271,43.6621798517,10.5013591555,22.9062646355,2019-05-29,09:05:45,2
54,240.1823378058,268.5695909289,36.6257815947,322.6800325772,302.1787215358,323.069050775,268.9884600511,88.5695909289,265.820000713,347.1926253633,7.2724172145,312.5020115945,2019-04-01,07:53:58,1
55,240.1053606399,268.710238776,35.0890644718,322.1527073235,270.8607151859,322.9864910936,268.960431601,88.710238776,265.7091943606,344.8995198623,7.1461046306,309.7063983974,2019-03-29,18:12:00,1
56,234.1800015791,271.5731462344,358.6049390401,293.6262808172,276.8438172088,320.9839515577,267.6833658053,91.5731462344,261.2094680488,290.3953098472,4.9038051467,245.5498845309,2019-02-03,14:35:39,1
57,216.045054519,276.1713367096,301.6783230478,225.3327629346,216.6109815435,319.7549082453,265.1110652653,96.1713367096,251.5918788929,202.3063821704,5.9078525356,182.4231102192,2018-11-08,21:04:54,2
58,231.2730557208,272.4242994848,347.7257354749,266.6364847092,57.1153687684,320.4832710108,267.1558020106,92.4242994848,259.404647848,274.0689096315,4.6314647194,227.6455331322,2019-01-18,19:06:30,1
59,199.5824603879,281.902149126,281.0955886573,119.1724872112,231.5058252033,322.1693919764,265.7356448025,101.902149126,250.0265885713,96.7260788576,8.4548131331,140.9013326752,2018-07-24,00:36:25,1
60,205.4323210111,279.0182815682,277.0914773515,144.7034794895,229.6253489941,320.8371931929,264.7974712516,99.0182815682,248.6037213887,149.1428509269,7.9428546671,190.3737002606,2018-09-16,03:42:19,2
61,217.1645688326,275.9022635274,304.7293922062,228.7596840022,279.0960190031,319.7158748576,265.2114899236,95.9022635274,252.0615334148,207.4126731897,5.7149245945,181.3636894255,2018-11-13,20:56:41,2
62,199.6845251217,281.7738532046,280.4447022352,119.4415587,260.37372997,322.126757362,265.6781688644,101.7738532046,249.8806175613,99.0377718991,8.482124363,143.5073172273,2018-07-26,02:42:43,1
63,239.2005634171,269.501055933,24.9394476479,330.5459621655,63.2413628048,322.4231552634,268.7145727909,89.501055933,264.7900232708,329.7556573913,6.3596151093,291.4033985621,2019-03-15,00:02:25,1
64,199.3386524096,282.46533055,283.5951259477,112.9800917847,85.7965847057,322.3269494854,265.9935807966,102.46533055,250.7248515077,86.5837746411,8.2799438285,129.2408229288,2018-07-13,00:32:34,1
65,235.5012841721,271.1392126309,4.1484199677,308.3314723057,15.2810450065,321.2680060985,267.9361013293,91.1392126309,262.0732508731,298.6936307885,5.1231105418,254.954279915,2019-02-11,19:07:20,2
66,234.8056277316,264.5699988604,85.6162857062,83.6473959026,221.1373343561,324.6869208291,268.5315895531,84.5699988604,264.8718109839,60.3020006345,11.3066071542,44.0825416631,2019-06-15,19:18:27,2
67,207.7909623607,278.3041127179,281.3726327195,168.9660849996,36.4362820865,320.4830923568,264.7429178099,98.3041127179,248.9610240695,162.3251808547,7.5027672504,196.099354544,2018-09-29,16:09:05,1
68,202.8826729063,279.916765789,274.6355871138,114.7869283318,354.460601518,321.3051652419,264.9851830659,99.916765789,248.5735569383,132.5742753647,8.3459024089,177.805751951,2018-08-30,07:02:47,2
69,214.3921338379,276.573746189,297.2670890204,217.2218102503,111.9156723587,319.8388975738,264.9822494902,96.573746189,250.9394604943,194.6936229142,6.209294723,185.7749184374,2018-11-01,11:49:53,1
70,202.8675273963,279.9288595033,274.631941896,114.6396512387,351.5664625211,321.3082627308,264.9868452638,99.9288595033,248.5749449146,132.4639728979,8.3479172536,177.7085481006,2018-08-30,04:18:23,1
71,222.1110663515,274.7260961501,318.7336928578,213.3167095391,215.9042762846,319.7146688239,265.7648855598,94.7260961501,254.362893558,229.8519957702,5.0073637025,187.944389088,2018-12-06,09:37:44,2
72,203.3630069837,279.7361911416,274.8340346061,119.8980409852,39.1218438854,321.2091394184,264.9364432337,99.7361911416,248.5410018321,135.9800194153,8.2791279775,180.7323575093,2018-09-02,20:33:55,2
73,238.3893054884,266.1549697031,66.4115993073,25.9356995307,185.4108118437,324.3522144055,269.0077856122,86.1549697031,266.2646906378,31.6196227459,9.8452363362,7.6783398938,2019-05-16,21:28:38,1
74,201.9294340014,280.3413037374,274.7816080288,108.1475219631,257.7115864671,321.5090684341,265.1069274143,100.3413037374,248.7115316933,125.1982929082,8.4590748912,171.0097773032,2018-08-22,05:30:39,2
75,208.9192069698,278.0001298064,283.7869501449,178.8703575797,116.6457394099,320.3375800408,264.7472231432,98.0001298064,249.2108766446,168.21468645,7.281724004,196.8244519728,2018-10-05,09:49:29,1
76,227.3850179247,273.4450615887,334.7407015517,237.2872645023,175.6734483385,320.0317845011,266.5208966513,93.4450615887,257.1551664931,254.4506758511,4.6114977697,207.768651187,2018-12-30,13:48:26,2
77,202.4521371388,280.099271211,274.6017445317,111.0522483359,311.8584652861,321.3949389196,265.0356622126,100.099271211,248.6224834181,129.3595159752,8.4006805171,174.9150177014,2018-08-26,19:07:38,2
78,203.1968864417,279.799629475,274.7479498772,118.0459106424,23.0966394563,321.24187145,264.9524510446,99.799629475,248.5498275032,134.8215366307,8.3028214062,179.7535351624,2018-09-01,15:50:03,1
79,202.0418750029,280.2772876436,274.7199706806,108.5903850232,271.9541666018,321.4839983653,265.0905679111,100.2772876436,248.6893046453,126.1210924138,8.4473671817,171.8905573916,2018-08-23,09:30:13,2
80,239.5816383012,266.9044647257,57.2414966991,358.691341693,351.7227500539,324.038765925,269.108613194,86.9044647257,266.4853433162,17.9407672945,9.0560694048,350.5085871308,2019-05-02,19:01:56,1
81,206.8381223347,278.5830759071,279.4937006124,159.8147316253,328.1094810027,320.6179476033,264.7539126511,98.5830759071,248.7872337252,157.1647317591,7.6853421978,194.4595071352,2018-09-24,07:48:33,2
82,234.4041157487,264.4006482229,87.6560540871,87.8020208604,262.2075947409,324.6944187589,268.4644974206,84.4006482229,264.6657858931,63.3524427252,11.437915187,47.9809354078,2019-06-19,00:00:23,1
83,232.9249480508,271.9542840718,353.7329822699,281.2052509934,187.419660495,320.7491308371,267.4509523174,91.9542840718,260.4160579708,283.0899989995,4.7551523257,237.4258282221,2019-01-27,15:58:39,2
84,216.2653551026,276.1358706874,302.2748485515,226.1791189902,225.2556400023,319.746092221,265.1300193989,96.1358706874,251.6826065501,203.3137690799,5.8691095254,182.1317102864,2018-11-09,15:08:40,2
85,214.437826689,276.5625197287,297.3874288113,217.47788742,114.9002228136,319.8361634844,264.9854909404,96.5625197287,250.9568008113,194.9055474976,6.2007433584,185.6586985891,2018-11-01,15:54:56,1
86,229.5812591706,272.8790711019,341.9196727097,253.1998793239,307.7149350134,320.2552455129,266.8660759909,92.8790711019,258.4025233052,265.3264650839,4.5763519836,218.5096486129,2019-01-09,22:08:35,2
87,199.3390181494,282.7130634006,284.3817510782,108.1763249587,17.5364558003,322.3794620616,266.1077487578,102.7130634006,251.0544583055,82.1243909538,8.1750484694,124.0154497188,2018-07-08,17:20:42,1
88,233.6639115905,264.0793294388,91.5212652945,94.2623235056,335.0208895279,324.693291055,268.3310254852,84.0793294388,264.2546739652,69.1370268266,11.6705238163,55.384368321,2019-06-25,07:31:51,2
89,237.9288661529,270.186653852,16.2686637554,334.3596814813,263.9860619819,321.9325646558,268.4290322431,90.186653852,263.7752146207,316.8083052733,5.7725656482,276.0106103037,2019-03-01,19:32:03,1
90,238.3811397463,266.1506702338,66.4640077285,26.1079874092,186.5564729589,324.3537425904,269.0069484292,86.1506702338,266.2625269263,31.6978026339,9.8496378308,7.7768910382,2019-05-17,05:25:28,2
91,200.7504157407,280.936382194,276.4226877181,111.0761626815,107.1151676736,321.7952671196,265.3255234246,100.936382194,249.0840508554,114.162821601,8.5429083369,159.9302641276,2018-08-10,23:00:03,2
92,234.5871088646,271.4096308526,0.2604553561,297.9700488026,313.2575421602,321.0670913152,267.760327621,91.4096308526,261.4721915966,292.8750971704,4.9638475299,248.3420034811,2019-02-06,07:15:39,1
93,230.9096989528,272.5239330937,346.4526667371,263.6423702358,30.8645336433,320.430654017,267.0924391276,92.5239330937,259.1866312966,272.1547364396,4.6138503061,225.6134359034,2019-01-16,15:59:05,2
94,225.4240256296,273.9295676249,328.6309984093,224.7494085194,43.489801409,319.8742107185,266.2222528708,93.9295676249,256.0803939122,245.1376662198,4.7068982985,199.3434526061,2018-12-21,06:22:30,1
95,233.7749360906,264.1285562157,90.9294729251,93.4012175182,323.9446642094,324.6947715929,268.3519538307,84.1285562157,264.3191707251,68.2509754988,11.636352063,54.2495320746,2019-06-24,08:14:11,1
96,233.6017268419,271.751858799,356.3205122049,287.732097354,236.3748761069,320.8718802338,267.5753557859,91.751858799,260.840939497,286.9712713956,4.8287896445,241.7222800296,2019-01-31,12:39:20,2
97,211.4750191544,277.3068566233,289.8050755184,198.535423864,288.9391262734,320.0622568296,264.8166848017,97.3068566233,249.924361778,180.9104968727,6.7737692953,193.737088549,2018-10-18,11:48:24,2
98,235.3203333213,264.7845190723,83.0294541815,77.6952588724,165.7449721853,324.6696072963,268.6130936704,84.7845190723,265.120495857,56.4350263117,11.132376726,39.1474305293,2019-06-11,23:09:07,1
99,199.7846455438,281.6645871887,279.8823619577,119.2867497641,284.6780825386,322.0885934564,265.6297644645,101.6645871887,249.7607723377,101.0072758103,8.5016435187,145.7099413049,2018-07-28,10:11:53,2
100,238.3552123313,269.9813170845,18.870590994,335.6196699018,309.6928285039,322.0796128692,268.5214099651,89.9813170845,264.099856655,320.6953206537,5.9391464015,280.6054045023,2019-03-05,15:31:51,1
101,240.2201562924,267.6394065665,48.1873187122,337.9001712642,176.0335359626,323.6502602184,269.1153021914,87.6394065665,266.3874216288,4.4364098331,8.261237297,333.703095815,2019-04-18,22:10:41,2
102,238.8028741273,269.7424646962,21.8920011541,334.236467888,4.2709162963,322.2506247546,268.6215514922,89.7424646962,264.4555882452,325.2072086771,6.1430932541,285.9675883803,2019-03-10,07:42:24,1
103,237.6702588214,270.3033007245,14.7888685897,332.6516493345,237.3613887067,321.8493019335,268.3741066724,90.3033007245,263.5834581646,314.5971900071,5.681786289,273.407584692,2019-02-27,14:42:18,2
104,199.3960472786,282.2392170998,282.6874557906,116.3472168225,149.1118832024,322.2698168664,265.8893547364,102.2392170998,250.4345563206,90.6552872081,8.3609037798,133.9622868084,2018-07-17,17:56:58,1
105,204.4334553888,279.3503974846,275.7617022963,132.7945274058,144.3903650534,321.0089765538,264.8518779794,99.3503974846,248.5374353293,143.0421657944,8.1134779819,186.2788865475,2018-09-09,21:17:26,2
106,210.9234023987,277.4808722795,288.4547113294,194.562848369,249.9672461113,320.1152854457,264.7951823777,97.4808722795,249.7548630441,178.2316978275,6.8831845955,194.9024403374,2018-10-15,08:59:43,1
107,238.7410662798,269.7772057578,21.4529047218,334.609774888,356.155321317,322.225742589,268.6074835439,89.7772057578,264.4053562229,324.5516439814,6.1127756245,285.1866084301,2019-03-09,18:58:21,2
108,,,,,,,,,,,,,2018-12-16,19:46:51,1
109,235.0786692783,264.6840267972,84.2417113683,80.577524385,192.0661114616,324.6788012568,268.5754187953,84.6840267972,265.0058099982,58.2470123021,11.215061913,41.4589185744,2019-06-13,16:39:53,2
110,238.3319472766,266.124913898,66.7779209851,27.1430190446,193.3946174372,324.362832398,269.0018762695,86.124913898,266.2493604234,32.1660872066,9.8759705458,8.3672903648,2019-05-17,17:05:22,1
111,199.3330113905,282.6556535242,284.2210228812,109.3840476918,32.6315878553,322.3682224797,266.0813102966,102.6556535242,250.9771583315,83.1575953729,8.2008040356,125.2308940027,2018-07-09,12:20:45,2
112,237.7942144172,270.2480430368,15.4900215964,333.5445584754,250.1065317063,321.888709107,268.4003378126,90.2480430368,263.6749377722,315.6448874848,5.7244293443,274.6399869615,2019-02-28,14:43:52,2
113,199.5507177848,281.9470893145,281.3194522947,118.9670306503,221.1991547422,322.1837633713,265.7559299475,101.9470893145,250.0790041222,95.9164864326,8.4441373928,139.9836680613,2018-07-23,03:15:12,1
114,201.6471221123,280.4599175724,274.9987716793,107.5449525218,230.9492799269,321.5734356632,265.1508393406,100.4599175724,248.7757725748,122.8028960561,8.4861303941,168.6871495704,2018-08-20,04:47:27,2
115,200.4498546709,281.1261703408,277.2228843003,113.8650752186,53.8954465138,321.8775782651,265.4009917432,101.1261703408,249.2380283508,110.7279947123,8.5469950508,156.3090246338,2018-08-07,09:02:46,2
116,201.5173610209,280.5228909989,275.1310713973,107.5318038834,216.3256541323,321.6037738074,265.1725249028,100.5228909989,248.8097457527,121.6596119678,8.4973387494,167.561067418,2018-08-19,00:16:13,1
117,235.8541223566,271.0158006875,5.7232891013,312.5293345217,45.73980377,321.3514943277,268.0051981614,91.0158006875,262.3099025351,301.048619918,5.1947950357,257.6533247099,2019-02-14,03:00:54,2
118,202.0130283598,280.2902246918,274.7345067717,108.4664121287,269.0790763093,321.4904012026,265.0947074118,100.2902246918,248.6948355297,125.8859197423,8.4504184833,171.6668590215,2018-08-23,04:38:41,1
119,238.1163761897,270.098555824,17.3854894502,335.183834985,283.6209061215,321.9956043941,268.4693592544,90.098555824,263.9165655943,318.4768734747,5.8430061205,277.9801236715,2019-03-03,10:26:02,1
120,234.8216062486,271.367426133,1.2339004462,300.5484301202,322.7068875265,321.1166718821,267.8050095478,91.367426133,261.6248399355,294.3325817137,5.0013355768,249.9904987413,2019-02-07,17:45:53,1
121,239.830567706,269.0104496821,31.1087200314,323.1357451754,198.3928051057,322.7685888616,268.8761998746,89.0104496821,265.3862210905,338.9601413218,6.8269056548,302.4931421015,2019-03-23,23:14:06,2
122,238.9050911732,269.6526321604,22.6364137666,333.4921986777,25.6132770521,322.2928008374,268.6450218629,89.6526321604,264.5395862992,326.3184912549,6.195007465,287.2929031465,2019-03-11,00:23:31,1
123,233.5123621637,271.7789779626,355.9738448409,286.8483857715,230.0691158697,320.8551644893,267.5588036425,91.7789779626,260.7844508297,286.4514471537,4.8182171606,241.1441492295,2019-01-30,19:22:24,1
124,235.6173074669,271.0990355926,4.6612267158,309.7020185612,24.9789877425,321.2950642052,267.958737922,91.0990355926,262.1507571694,299.4605638036,5.146003287,255.8318660463,2019-02-12,13:19:05,2
125,236.1855871298,265.1451408942,78.6718531284,66.0305404356,69.1851740274,324.6203693369,268.7396377708,85.1451408942,265.5021205546,49.9234780595,10.8205301806,30.8564451851,2019-06-04,22:49:37,2
126,236.5551845983,270.758361834,9.0045399639,320.9884504065,116.3538310377,321.5287753493,268.1448122783,90.758361834,262.7892120224,305.9530318604,5.3569070808,263.3137363103,2019-02-19,00:36:32,1
127,230.2608995286,272.6990613362,344.2161327752,258.4497405943,348.388250194,320.341751053,266.9807958978,92.6990613362,258.8011817899,268.7884762508,4.5904375855,222.0816167485,2019-01-13,07:40:09,1
128,203.7188670128,279.6038128713,275.0747893529,124.0670220361,73.9443184918,321.1406335601,264.9049512868,99.6038128713,248.5300789765,138.4000409791,8.2264469156,182.7177919105,2018-09-05,07:31:10,2
129,219.5161478391,275.3420997094,311.2853327674,224.9238557949,54.5532593524,319.6802028119,265.4534242754,95.3420997094,253.1126280579,218.0747850012,5.3456119931,182.4579542054,2018-11-24,17:38:30,1
130,240.2528850233,267.7147723998,47.2550280007,336.1263209806,155.1852740804,323.6065582889,269.1107052155,87.7147723998,266.3597257813,3.0463347454,8.1797915469,331.9824637762,2019-04-17,16:02:42,2
131,,,,,,,,,,,,,2018-10-17,13:45:36,1
132,227.7240574802,273.3598302821,335.8203761694,239.6219812413,196.9806397768,320.0639398384,266.5744394381,93.3598302821,257.3452281866,256.0901779518,4.6019407851,209.3340865116,2018-12-31,23:24:29,1
133,214.6294987109,276.484587093,297.893258023,218.5360076069,135.6113731946,319.8249440589,264.9992864354,96.484587093,251.0299815072,195.793516852,6.1649890466,185.183164523,2018-11-02,02:12:41,2
134,239.9198099541,268.9508035918,32.2439171866,322.4926197551,213.8571413901,322.8312330263,268.901871812,88.9508035918,265.4834685083,340.6539851161,6.916652983,304.5460589507,2019-03-25,08:14:56,2
135,199.6359414702,283.3430037476,285.2030718468,91.6396860733,232.1314647592,322.4636739872,266.392380883,103.3430037476,251.9224021128,70.7918518588,7.8369216886,110.5162479314,2018-06-26,21:02:47,1
136,239.4551361916,269.3379251118,27.1613335838,327.389453328,106.9337433421,322.5484349544,268.777085277,89.3379251118,265.0176424902,333.0707776869,6.5237793778,295.3840177778,2019-03-17,20:55:20,2
137,207.0283487809,278.5264682714,279.8550893896,161.706773029,341.491113003,320.590138461,264.7505809364,98.5264682714,248.8189791271,158.210612055,7.6492936804,194.8609190444,2018-09-25,13:26:49,1
138,207.3879818306,278.4207270847,280.5577193142,165.1929364724,7.1797904764,320.5387667987,264.7458445992,98.4207270847,248.8830840423,160.1659651123,7.5805542144,195.519310332,2018-09-27,09:20:12,2
139,222.7516934135,274.5734803212,320.6105230699,213.6070598946,252.0403762558,319.7353424596,265.848410704,94.5734803212,254.6849006443,232.77752915,4.9369413725,189.8226959182,2018-12-09,07:44:53,1
